Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
AALR3;ALLIAR;ON NM;46.716.473;0,019
ABCB4;ABC BRASIL;PN EJS N2;73.745.621;0,044
ABEV3;AMBEV S/A;ON;4.355.174.839;2,638
ALPA4;ALPARGATAS;PN N1;168.770.200;0,251
ALSO3;ALIANSCSONAE;ON NM;127.376.805;0,129
ALUP11;ALUPAR;UNT N2;143.807.403;0,141
AMAR3;LOJAS MARISA;ON NM;111.476.495;0,026
ANIM3;ANIMA;ON NM;74.110.257;0,099
ARZZ3;AREZZO CO;ON NM;45.095.471;0,107
AZUL4;AZUL;PN N2;327.283.207;0,453
B3SA3;B3;ON EDJ NM;2.043.531.244;4,61
BBAS3;BRASIL;ON NM;1.283.197.221;1,84
BBDC3;BRADESCO;ON EJ N1;1.253.093.907;1,134
BBDC4;BRADESCO;PN EJ N1;4.261.649.634;4,354
BBSE3;BBSEGURIDADE;ON NM;671.584.841;0,719
BEEF3;MINERVA;ON EJ NM;239.331.676;0,088
BIDI11;BANCO INTER;UNT N2;147.748.642;0,515
BIDI4;BANCO INTER;PN N2;33.407.852;0,039
BKBR3;BK BRASIL;ON NM;272.245.759;0,111
BMGB4;BANCO BMG;PN EJ N1;103.934.988;0,022
BPAC11;BTGP BANCO;UNT EJ N2;236.093.794;0,775
BPAN4;BANCO PAN;PN EJ N1;341.124.068;0,119
BRAP4;BRADESPAR;PN N1;222.075.664;0,591
BRDT3;PETROBRAS BR;ON NM;1.164.958.126;0,956
BRFS3;BRF SA;ON NM;811.759.800;0,65
BRKM5;BRASKEM;PNA N1;264.640.575;0,242
BRML3;BR MALLS PAR;ON NM;843.728.684;0,293
BRPR3;BR PROPERT;ON NM;198.812.616;0,07
BRSR6;BANRISUL;PNB EJ N1;202.531.540;0,11
BTOW3;B2W DIGITAL;ON NM;201.549.295;0,52
CAML3;CAMIL;ON EJ NM;120.754.497;0,049
CCRO3;CCR SA;ON NM;1.115.695.556;0,531
CEAB3;CEA MODAS;ON NM;106.394.635;0,049
CESP6;CESP;PNB N1;182.017.689;0,193
CIEL3;CIELO;ON EJ NM;1.112.196.638;0,156
CMIG3;CEMIG;ON EJ N1;238.976.793;0,149
CMIG4;CEMIG;PN EJ N1;969.723.092;0,529
CNTO3;CENTAURO;ON NM;88.709.474;0,086
COGN3;COGNA ON;ON NM;1.847.994.874;0,316
CPFE3;CPFL ENERGIA;ON NM;187.714.249;0,222
CPLE3;COPEL;ON EJ N1;60.002.482;0,151
CPLE6;COPEL;PNB EJ N1;128.297.543;0,351
CRFB3;CARREFOUR BR;ON NM;391.758.726;0,279
CSAN3;COSAN;ON NM;129.314.042;0,387
CSMG3;COPASA;ON NM;188.444.559;0,114
CSNA3;SID NACIONAL;ON;642.398.790;0,878
CVCB3;CVC BRASIL;ON NM;172.756.818;0,132
CYRE3;CYRELA REALT;ON NM;281.154.098;0,288
DIRR3;DIRECIONAL;ON NM;81.360.368;0,039
DMMO3;DOMMO;ON;307.876.934;0,016
DTEX3;DURATEX;ON NM;273.421.574;0,189
ECOR3;ECORODOVIAS;ON NM;171.109.276;0,081
EGIE3;ENGIE BRASIL;ON NM;254.792.279;0,412
ELET3;ELETROBRAS;ON N1;358.018.408;0,462
ELET6;ELETROBRAS;PNB N1;242.977.127;0,321
EMBR3;EMBRAER;ON NM;736.143.105;0,248
ENAT3;ENAUTA PART;ON NM;75.939.767;0,034
ENBR3;ENERGIAS BR;ON EJ NM;250.403.441;0,179
ENEV3;ENEVA;ON NM;315.480.873;0,707
ENGI11;ENERGISA;UNT N2;250.679.709;0,467
EQTL3;EQUATORIAL;ON NM;1.010.286.085;0,849
EVEN3;EVEN;ON NM;209.535.948;0,087
EZTC3;EZTEC;ON NM;95.756.217;0,14
FLRY3;FLEURY;ON EJ NM;303.800.430;0,295
GFSA3;GAFISA;ON NM;118.208.091;0,019
GGBR4;GERDAU;PN N1;995.903.643;1,052
GNDI3;INTERMEDICA;ON NM;588.176.771;1,605
GOAU4;GERDAU MET;PN N1;693.699.918;0,329
GOLL4;GOL;PN N2;137.725.788;0,121
GRND3;GRENDENE;ON NM;271.155.206;0,083
GUAR3;GUARARAPES;ON;81.944.760;0,043
HAPV3;HAPVIDA;ON NM;1.085.256.490;0,578
HBOR3;HELBOR;ON NM;65.261.522;0,027
HGTX3;CIA HERING;ON NM;126.186.408;0,076
HYPE3;HYPERA;ON EJ NM;410.147.968;0,518
IGTA3;IGUATEMI;ON NM;85.796.919;0,11
IRBR3;IRBBRASIL RE;ON NM;1.255.327.516;0,367
ITSA4;ITAUSA;PN N1;4.515.538.171;1,996
ITUB3;ITAUUNIBANCO;ON ED N1;384.575.906;0,407
ITUB4;ITAUUNIBANCO;PN ED N1;4.757.466.114;5,665
JBSS3;JBS;ON NM;1.500.315.048;1,337
JHSF3;JHSF PART;ON NM;288.952.690;0,077
JPSA3;JEREISSATI;ON;34.833.911;0,032
KLBN11;KLABIN S/A;UNT N2;788.757.519;0,778
LAME3;LOJAS AMERIC;ON EJS N1;245.640.344;0,17
LAME4;LOJAS AMERIC;PN EJS N1;843.325.974;0,748
LCAM3;LOCAMERICA;ON EJ NM;323.763.077;0,331
LEVE3;METAL LEVE;ON EJ NM;38.492.519;0,029
LIGT3;LIGHT S/A;ON NM;303.934.060;0,269
LINX3;LINX;ON NM;147.968.946;0,209
LJQQ3;QUERO-QUERO;ON EJ NM;177.127.526;0,103
LOGG3;LOG COM PROP;ON NM;59.735.959;0,075
LOGN3;LOG-IN;ON NM;100.109.944;0,055
LPSB3;LOPES BRASIL;ON NM;114.874.308;0,019
LREN3;LOJAS RENNER;ON NM;785.417.914;1,179
LWSA3;LOCAWEB;ON NM;83.040.790;0,251
MDIA3;M.DIASBRANCO;ON EJ NM;83.669.782;0,104
MEAL3;IMC S/A;ON NM;265.820.032;0,04
MGLU3;MAGAZ LUIZA;ON EJ NM;2.668.955.512;2,362
MILS3;MILLS;ON NM;115.485.533;0,026
MOVI3;MOVIDA;ON EJ NM;132.113.940;0,097
MRFG3;MARFRIG;ON NM;368.864.634;0,192
MRVE3;MRV;ON NM;298.796.441;0,202
MTRE3;MITRE REALTY;ON NM;54.039.454;0,032
MULT3;MULTIPLAN;ON EJ N2;276.848.567;0,226
MYPK3;IOCHP-MAXION;ON NM;141.465.625;0,081
NEOE3;NEOENERGIA;ON EJ NM;226.115.915;0,15
NTCO3;GRUPO NATURA;ON NM;841.083.922;1,552
ODPV3;ODONTOPREV;ON NM;263.448.316;0,15
OMGE3;OMEGA GER;ON NM;101.631.277;0,154
PARD3;IHPARDINI;ON NM;43.661.030;0,035
PCAR3;P.ACUCAR-CBD;ON NM;157.635.935;0,433
PETR3;PETROBRAS;ON N2;3.684.060.179;4,269
PETR4;PETROBRAS;PN N2;4.566.457.037;5,183
POMO4;MARCOPOLO;PN EJ N2;573.419.889;0,062
POSI3;POSITIVO TEC;ON NM;78.616.498;0,014
